Date,Open,High,Low,Close,Adj Close,Volume
12-08-2002,38.724998,40,38.724998,39.700001,29.410906,212976
13-08-2002,39.75,40.387501,38.875,39.162498,29.012722,153576
14-08-2002,39.25,39.25,35.724998,36.462502,27.012478,822776
15-08-2002,36.462502,36.462502,36.462502,36.462502,27.012478,0
16-08-2002,36.275002,38,35.75,36.375,26.947662,811856
19-08-2002,36.674999,36.674999,35.137501,35.474998,26.280912,205880
20-08-2002,35.724998,38.724998,35.487499,36.462502,27.012478,3773624
21-08-2002,38.474998,39.200001,36.525002,38.25,28.336712,3011064
22-08-2002,39.512501,41.575001,39.3125,39.900002,29.559082,6732480
23-08-2002,40.25,43.625,39.762501,42.299999,31.337076,4841672
26-08-2002,42.974998,43.25,41.8125,42.150002,31.225952,2576912
27-08-2002,42.5,44.25,40.75,41.099998,30.44809,3694224
28-08-2002,40.974998,41.599998,40.287498,41.137501,30.47587,1674960
29-08-2002,40.887501,41.875,40.75,41.137501,30.47587,1236544
30-08-2002,41.262501,45.125,41.25,44.049999,32.633522,3762384
02-09-2002,44.75,45.974998,44.049999,44.5,32.966904,2389568
03-09-2002,44.75,44.9375,42,42.412498,31.420401,986784
04-09-2002,41.875,43.75,41.387501,43.337502,32.105682,1449856
05-09-2002,44.662498,44.862499,42.5,43.075001,31.911221,1061360
06-09-2002,43.25,43.25,41.012501,41.474998,30.725878,907472
09-09-2002,39.5,42.6875,39.5,40.9375,30.327711,880848
10-09-2002,40.9375,40.9375,40.9375,40.9375,30.327711,0
11-09-2002,41.162498,42.700001,41.162498,41.974998,31.096325,635936
12-09-2002,42.487499,43.224998,41.900002,42.1875,31.253742,781968
13-09-2002,40.712502,42.224998,40.637501,40.987499,30.36474,338264
16-09-2002,41.375,41.599998,39.875,40.1875,29.772068,288592
17-09-2002,40.912498,41.625,40.775002,41.362499,30.642538,462952
18-09-2002,41.125,41.25,39.75,40.087502,29.698,315432
19-09-2002,39.75,41.075001,39.25,39.75,29.447975,490848
20-09-2002,38.325001,39.674999,38.162498,39.099998,28.966427,501072
23-09-2002,39.375,39.474998,38.275002,38.4375,28.475624,248504
24-09-2002,38.299999,38.299999,36.724998,37.137501,27.512545,267912
25-09-2002,36.275002,37.75,36,37.424999,27.725536,379544
26-09-2002,38.200001,38.612499,37.75,38.012501,28.16077,178136
27-09-2002,37.887501,39,37.887501,38.474998,28.50341,206288
30-09-2002,37.887501,38.474998,36.275002,37.075001,27.466246,202232
01-10-2002,37.25,37.75,36.125,36.762501,27.23473,240192
02-10-2002,36.762501,36.762501,36.762501,36.762501,27.23473,0
03-10-2002,37.25,39.75,37.25,37.75,27.966305,673264
04-10-2002,38.25,38.362499,37.125,37.512501,27.790356,258296
07-10-2002,37.762501,38,37.025002,37.349998,27.669966,110976
08-10-2002,37.462502,38.724998,37.25,38.362499,28.420061,227352
09-10-2002,38.5,39.112499,37.0625,37.387501,27.697748,277040
10-10-2002,38.5,38.5,36.637501,37.424999,27.725536,173224
11-10-2002,38.474998,38.9375,38.112499,38.212502,28.308939,192536
14-10-2002,38.924999,39,37.575001,37.9375,28.105207,152744
15-10-2002,37.9375,37.9375,37.9375,37.9375,28.105207,0
16-10-2002,42.775002,42.775002,37.775002,38.012501,28.16077,247760
17-10-2002,38.25,38.25,37.525002,38.012501,28.16077,144512
18-10-2002,38.75,39.924999,38.287498,38.8125,28.753435,512312
21-10-2002,39.724998,40.737499,39.25,39.412498,29.197937,646296
22-10-2002,39.75,39.75,37.75,37.987499,28.142258,229384
23-10-2002,38.25,38.700001,37.525002,37.8125,28.012598,153320
24-10-2002,38.224998,38.349998,36.900002,37.150002,27.521805,168744
25-10-2002,36.5,37.087502,36.275002,36.387501,26.956932,172296
28-10-2002,36.125,36.5,35.549999,35.849998,26.558739,134504
29-10-2002,35.75,36.450001,35.549999,36.162498,26.790237,143024
30-10-2002,36.5,37.4375,36.25,36.775002,27.243982,164320
31-10-2002,37,37.5,36.799999,37.349998,27.669966,118928
01-11-2002,37.525002,38.150002,36.762501,36.962502,27.382895,108792
04-11-2002,37.5,37.5,36.950001,37.237499,27.586628,56560
05-11-2002,36.887501,37.325001,36.599998,36.837502,27.290298,70288
06-11-2002,36.837502,36.837502,36.837502,36.837502,27.290298,0
07-11-2002,37.5,39.5,37.5,37.974998,28.13298,204880
08-11-2002,37.25,37.737499,37.025002,37.3125,27.642197,77664
11-11-2002,37.5,37.5,36.674999,36.75,27.225466,66568
12-11-2002,36.5,37.5,36.5,36.9375,27.364386,106864
13-11-2002,37.125,37.224998,36.424999,36.625,27.132874,106264
14-11-2002,37.200001,37.900002,36.637501,37.125,27.503292,211856
15-11-2002,37.950001,38.162498,37.5,37.924999,28.095945,154144
18-11-2002,38.25,38.737499,37.837502,38.3125,28.383015,217672
19-11-2002,38.3125,38.3125,38.3125,38.3125,28.383015,0
20-11-2002,38.25,39.875,38.25,39.575001,29.318323,406128
21-11-2002,40.3125,44.724998,40.3125,43,31.855658,2664024
22-11-2002,41.387501,45.174999,41.387501,42.337502,31.364855,1184016
25-11-2002,42.75,43.200001,41.75,42.262501,31.309296,428920
26-11-2002,42.625,43.450001,41.775002,42.012501,31.124094,367496
27-11-2002,42.75,42.75,40.887501,41.125,30.466595,301128
28-11-2002,41.525002,43.724998,41.512501,42.799999,31.707489,447680
29-11-2002,42.799999,42.799999,42.799999,42.799999,31.707489,0
02-12-2002,44.875,49,44.474998,47.387501,35.10606,1388680
03-12-2002,48.5,52.424999,46.775002,50.099998,37.11554,4082608
04-12-2002,49.224998,51.1875,47.762501,48.424999,35.874649,2594928
05-12-2002,48.125,51.112499,48.125,49.650002,36.782162,1720264
06-12-2002,50.5,51.674999,49.637501,50.950001,37.745258,1139968
09-12-2002,50.75,51.724998,48.025002,48.5,35.930218,975768
10-12-2002,47.625,50.5,47.275002,49.612499,36.754383,837808
11-12-2002,51,53.987499,50.75,51.950001,38.486073,3286400
12-12-2002,52,54,52,52.375,38.800907,2568024
13-12-2002,53,53.674999,52.275002,52.587502,38.958366,1112288
16-12-2002,53.25,53.674999,50.025002,50.325001,37.282227,1231456
17-12-2002,51.275002,51.275002,48.900002,49.400002,36.596947,855656
18-12-2002,49.950001,50.724998,48.599998,48.9375,36.254322,618096
19-12-2002,49.924999,54.375,49.375,53.075001,39.319508,3770256
20-12-2002,53.75,54.950001,52.5,53.512501,39.643612,2952072
23-12-2002,53.75,53.762501,51.25,51.612499,38.236034,1277744
24-12-2002,51.75,54,51.5625,53.737499,39.810307,1729840
25-12-2002,53.737499,53.737499,53.737499,53.737499,39.810307,0
26-12-2002,54.150002,55.950001,53.25,55.262501,40.940056,2894448
27-12-2002,55.650002,55.875,53.787498,54.012501,40.014046,956984
30-12-2002,54,57.724998,52.762501,57.150002,42.338398,4253744
31-12-2002,57.525002,61.087502,56,60.112499,44.533096,9998480
01-01-2003,59.987499,61.974998,59.987499,61.087502,45.255394,6027072
02-01-2003,61.525002,62.924999,57.912498,58.299999,43.190342,5325328
03-01-2003,60,61.049999,58.5,59.012501,43.718185,4198040
06-01-2003,59.924999,60.1875,56.875,57.262501,42.421734,4121520
07-01-2003,58,58.5,56.0625,56.599998,41.930923,2650800
08-01-2003,57.349998,59.150002,56.924999,58.625,43.43111,2648456
09-01-2003,59,60.150002,58.450001,59.200001,43.857086,2630400
10-01-2003,60,60,55.262501,55.575001,41.171593,1702816
13-01-2003,56.224998,56.75,54.25,56.137501,41.588287,2421496
14-01-2003,56.724998,58.625,56.5,56.887501,42.143921,2239360
15-01-2003,57.349998,58.625,57.025002,58.025002,42.98661,2759760
16-01-2003,58.462502,60.200001,57.525002,58.849998,43.597809,2842656
17-01-2003,58.125,59,57.275002,57.525002,42.616211,1284144
20-01-2003,57.25,57.474998,55.275002,55.6875,41.25494,928872
21-01-2003,55.762501,56.5625,54,54.237499,40.180729,1147240
22-01-2003,54.700001,55.75,54.075001,54.474998,40.356674,1081352
